site;fire_class;drt_treatment;site_type;land_type;plotID;gps_loc;species;plantID;loggerID;date_in;date_out;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;2,2;;Vaccinium vitis idea;1;94195237;19/04/2023;;data missing;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;2,2;;Empetrum nigrum;3;94195238;19/04/2023;;data missing;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_vv_1;;Vaccinium_vitis-idaea;0;94195240;26.06.2023;;data missing;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Forested;ly_f_en_1;;Empetrum nigrum;0;94195242;22/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Forested;ly_f_vm_3;;Vaccinium myrtillus;0;94195243;22/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;9,3;;Control;1;94195244;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;9,3;;Calluna vulgaris;5;94195245;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;9,3;;Vaccinium myrtillus;5;94195246;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Forested;ly_f_vv_1;;Vaccinium vitis idea;0;94195248;22/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Forested;ly_f_vm_1;;Vaccinium myrtillus;0;94195249;22/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Forested;ly_f_cv_3;;Calluna vulgaris;0;94195250;22/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_cv_3;;Calluna_vulgaris;0;94195254;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;7,3;;Control;1;94195257;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;8,1;;Vaccinium vitis idea;1;94195258;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_en_1;;Empetrum_nigrum;0;94195259;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;90;Coastal;DroughtNet;8,1;;Control;1;94195260;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Mature;0;Coastal;DroughtNet;7,3;;Vaccinium vitis idea;5;94195262;21/04/2023;;;;;;;;;;;;;;;;;;;;;;;
