"","ID","n","leaf_area"
"307","CGT6196",1,0.734
"308","CGU7873",1,0.839
"309","CGV6392",1,0.907
"310","CGW6936",5,0.284
"311","CGW8641",6,0.234
"312","CGX2478",1,0.951
"313","CGY1867",2,1.317
"314","CGY4435",1,1.059
"315","CGZ3354",6,0.259
"316","CHA0798",6,0.251
"317","CHB1831",1,0.879
"318","CHC6328",1,1.059
"319","CHD0850",1,1.207
"320","CHF8168",9,0.271
"321","CHG4047",1,0.939
"322","CHH7499",1,0.93
"323","CHJ3872",1,1.365
"324","CHK0851",1,1.24
"325","CHM4776",1,3.194
"326","CHN6341",1,1.793
"327","CHO7199",1,1.09
"328","CHR1927",1,1.902
"329","CHS4948",1,1.392
"330","CHT3844",5,0.392
"331","CHU0133",1,1.412
"332","CHV0416",1,1.267
"333","CHW3401",1,1.338
"334","CHY2875",1,1.235
"335","CHZ3083",1,1.491
"336","CIA2545",1,1.462
"337","CIA3583",1,1.065
"338","CIC3105",1,1.552
"339","CIE8136",1,1.288
"340","CIG1553",1,1.691
"341","CIH0739",1,1.655
"342","CIH3918",10,0.28
"343","CII1520",1,1.476
"344","CIK5904",1,1.163
"345","CIL4603",1,1.598
"346","CIM4226",1,1.076
"347","CIO7291",1,3.246
"348","CIO9176",1,1.444
"349","CIP9661",1,1.459
"350","CIQ6578",1,1.132
"351","CIT2973",1,1.498
"352","CIU6525",1,1.261
"353","CIV4648",4,0.251
"354","CIX6671",1,1.831
"355","CJC6597",1,1.265
"356","CJI1763",10,0.293
"357","CJJ1771",1,2.093
"358","CJO2214",5,0.346
"359","CJQ0542",1,1.246
"360","CJX2048",10,0.264
"361","CKE2235",1,2.159
"362","CKL1546",1,2.398
"363","CLG9808",11,0.63
"364","CLN0900",1,1.712
"365","CMI5703",11,0.639
"366","CMP1938",1,2.298
"367","CNK0698",10,0.584
"368","CNR7092",1,2.254
"369","CNY2699",5,0.387
"370","COF5079",5,0.362
"371","COM0161",8,0.369
"372","COT1990",1,2.543
"373","CPA0045",5,0.413
"374","CPH6370",5,0.367
"375","CPO9897",10,0.516
"376","CPV5839",1,2.532
"377","CPX9296",5,0.524
"378","CQC5176",4,0.366
"379","CQJ1181",10,0.365
"380","CQQ4504",1,2.28
"381","CQX5956",5,0.457
"382","CRE4724",5,0.338
"383","CRL7668",11,0.488
"384","CRZ9756",6,0.34
"385","CSG7079",5,0.5
"386","CSK4070",11,0.574
"387","CSU2109",4,0.271
"388","CTB7752",10,0.511
"389","CTI6680",1,2.385
"390","CTT3832",7,0.421
"391","CTW2362",9,0.497
"392","CUD4022",1,2.754
"393","CUY4873",10,0.553
"394","CVF3919",1,2.448
"395","CWA0094",10,0.497
"396","CWH6414",1,2.314
"397","CWO5715",1,2.884
"398","CXC0126",10,0.408
"399","CXJ1216",10,0.23
"400","CXQ2068",1,2.587
"401","CYE6789",10,0.373
"402","CYS6430",1,1.653
"403","CZG8215",10,0.378
"404","CZU6445",1,2.874
"405","DAB6426",10,0.406
"406","DAI2118",10,0.378
"407","DAW1634",1,2.488
"408","DBD2460",11,0.401
"409","DBK3334",8,0.351
"410","DBY7710",1,2.612
"411","DCF3128",10,0.291
"412","DCM1938",9,0.317
"413","DDA5344",1,1.909
"414","DDH2712",1,2.25
"415","DDO0157",9,0.423
"416","DEC5446",1,2.34
"417","DEJ2557",1,2.522
"418","DEQ4768",10,0.253
"419","DFL2223",1,3.318
"420","DFS1513",10,0.257
"421","DFZ2351",1,1.106
"422","DGG0282",1,1.985
"423","DGN0616",1,2.376
"424","DGU4325",9,0.2
"425","DHP2616",1,2.734
"426","DHW3297",11,0.272
"427","DID2929",1,1.543
"428","DIR3387",9,0.406
"429","DIT6860",9,0.245
"430","DIY4375",1,1.944
"431","DJF2167",1,2.121
"432","DJM5129",1,2.423
"433","DJT3820",5,0.395
"434","DKA2028",1,2.718
"435","DKO6770",1,2.119
"436","DKV1529",5,0.487
"437","DLC7425",1,1.787
"438","DLQ1541",1,2.114
"439","DLX5338",5,0.411
"440","DME0515",10,0.316
"441","DMS6767",1,1.585
"442","DMZ1210",5,0.503
"443","DNE4939",6,0.528
"444","DNG0033",1,1.778
"445","DNN6294",1,2.238
"446","DNU3496",10,0.476
"447","DOB5132",5,0.594
"448","DOI0907",1,2.918
"449","DOP1782",1,1.959
"450","DOW6339",10,0.513
"451","DPD1157",6,0.55
"452","DPK3590",1,2.354
"453","DPR3708",1,2.097
"454","DPY4538",9,0.436
"455","DQF1942",5,0.401
"456","DQL4987",1,2.663
"457","DQM5051",1,1.352
"458","DQS1618",11,0.48
"459","DQT5250",5,0.438
"460","DRA2111",1,1.924
"461","DRH3293",5,0.402
"462","DRO7567",9,0.353
"463","DRV3531",5,0.631
"464","DSC1490",1,3.163
"465","DSJ7218",5,0.434
"466","DSQ6188",10,0.451
"467","DTE3554",1,3.196
"468","DTL5865",5,0.508
"469","DTS2629",9,0.448
"470","DUG1024",2,1.481
"471","DUN6537",5,0.631
"472","DUU8516",10,0.477
"473","DVB4898",1,1.546
"474","DVI7336",1,2.221
"475","DVP3755",1,2.516
"476","DVS5298",1,2.226
"477","DVU0070",1,1.973
"478","DVW5130",1,2.263
"479","DWD6512",1,2.848
"480","DWK8817",1,3.432
"481","DWR3673",1,2.911
"482","DWY6040",1,1.9
"483","DXM2869",1,1.109
"484","DXT4643",2,2.539
"485","DYA6432",1,1.431
"486","DYH5087",5,0.537
"487","DYO4113",1,2.605
"488","DYV8282",1,3.157
"489","DZC0311",1,2.158
"490","DZJ3038",5,0.424
"491","DZQ3170",1,2.914
"492","DZX9132",1,2.706
"493","EAE1703",1,1.65
"494","EAL5857",8,0.304
"495","EAS1423",1,2.676
"496","EAZ1015",1,2.696
"497","EBG6532",1,1.367
"498","EBN1456",10,0.32
"499","EBU8840",1,2.652
"500","ECB7844",1,1.044
"501","ECW6015",1,1.944
"502","EDD1644",1,1.77
"503","EDR6663",1,2.731
"504","EDS3876",1,1.884
"505","EEM2704",1,1.831
"506","EET4049",1,1.446
"507","EFO3374",1,3.064
"508","EFV7490",1,2.699
"509","EOI5046",5,0.328
"510","EOL4572",6,0.367
"511","EOZ2996",6,0.398
"512","EPG5309",6,0.375
"513","EPU7821",5,0.369
"514","EQB0696",6,0.408
"515","EQW0226",1,2.259
"516","ESF2157",1,2.051
"517","EVS1259",1,1.953
"518","EWG8903",5,0.355
"519","EWU4096",1,1.545
"520","EXI0275",5,0.308
"521","EXW6718",1,2.458
"522","EYY0569",1,2.133
"523","FKY1055",6,0.424
"524","FKZ5483",14,19.421
"525","FLM3927",14,13.67
"526","FMI4912",15,12.221
"527","FMN7027",5,0.333
"528","FMV5050",5,0.283
"529","FMW3862",4,0.29
"530","FMZ2358",5,0.319
"531","FND2264",5,0.391
"532","FNH4592",6,0.301
"533","FNP7140",6,0.422
"534","FNS4599",6,0.283
"535","FNT7102",6,0.337
"536","FNU6996",6,0.368
"537","FNZ1509",6,0.303
"538","FOC5838",6,0.298
"539","FOD0428",6,0.205
"540","FOF6090",4,0.336
"541","FOG7192",6,0.297
"542","FOJ6482",10,0.614
"543","FOK7136",6,0.368
"544","FOL6683",6,0.273
"545","FON2133",12,0.604
"546","FOO3232",6,0.371
"547","FOP4524",6,0.316
"548","FOR3464",11,0.626
"549","FOS5332",6,0.353
"550","FOT1139",6,0.34
"551","FOU3775",6,0.285
"552","FOV5846",10,0.58
"553","FOW0348",6,0.368
"554","FOX0538",6,0.319
"555","FOY7687",6,0.289
"556","FOZ5995",11,0.57
"557","FPA0311",5,0.546
"558","FPB7572",6,0.305
"559","FPC4364",5,0.374
"560","FPD2736",11,0.713
"561","FPF2227",6,0.306
"562","FPG0899",5,0.288
"563","FPH2720",1,2.625
"564","FPI4548",6,0.634
"565","FPJ0281",6,0.307
"566","FPK1677",6,0.381
"567","FPL3040",1,2.018
"568","FPM8646",5,0.407
"569","FPN9883",6,0.307
"570","FPO5161",6,0.368
"571","FPP5931",1,2.34
"572","FPQ2591",5,0.506
"573","FPR2354",6,0.335
"574","FPS7723",5,0.332
"575","FPT3126",1,2.788
"576","FPU9910",2,2.546
"577","FPV8424",6,0.317
"578","FPW7318",7,0.471
"579","FPX0358",1,2.267
"580","FPY1054",5,0.444
"581","FPZ4542",6,0.342
"582","FQA0083",6,0.393
"583","FQB2992",1,2.512
"584","FQC0608",1,3.936
"585","FQD3449",6,0.363
"586","FQE3913",6,0.363
"587","FQF6354",5,0.452
"588","FQG8441",6,0.371
"589","FQH7063",7,0.426
"590","FQI2043",5,0.418
"591","FQJ0183",5,0.365
"592","FQL2724",6,0.364
"593","FQM7372",5,0.458
"594","FQN3978",5,0.485
"595","FQP5796",5,0.256
"596","FQQ1539",5,0.453
"597","FQR1580",5,0.436
"598","FQT9991",5,0.29
"599","FQU1079",5,0.47
"600","FQV0071",5,0.403
"601","FQW6264",3,1.096
"602","FQX5226",6,0.352
"603","FQY8522",5,0.403
"604","FQZ3266",5,0.535
"605","FRA4975",1,1.15
"606","FRB0214",5,0.286
"607","FRC2714",5,0.45
"608","FRD0361",5,0.394
"609","FRF8000",6,0.343
"610","FRG8307",1,0.865
"611","FRH3508",5,0.351
"612","FRJ1851",1,1.01
"613","FRK2439",1,0.908
"614","FRL4897",5,0.4
"615","FRM6261",2,0.939
"616","FRO2298",1,0.889
"617","FRP3825",5,0.411
"618","FRQ5981",1,1.321
"619","FRT4628",5,0.443
"620","FRU4371",5,0.415
"621","FRX3652",6,0.388
"622","FSI3069",5,0.62
"623","FSJ4807",6,0.401
"624","FSK1516",7,0.384
"625","FSL5157",7,0.403
"626","FSM1548",7,0.392
"627","FSN7388",7,0.381
"628","FSO6531",7,0.407
"629","FSP3547",7,0.406
"630","FSQ1351",6,0.333
"631","FSR2012",5,0.478
"632","FSS2493",1,1.315
"633","FST5583",1,1.368
"634","FSU0112",1,1.38
"635","FSV0778",1,1.125
"636","FSW7741",1,1.298
"637","FSX3636",2,1.113
"638","FSY1337",1,1.028
"639","FSZ7300",1,0.984
"640","FTA3628",1,1.039
"641","FTB3282",1,1.293
"642","FTC1132",1,1.007
"643","FTD0502",1,1.13
"644","FTE1720",1,1.009
"645","FTN0833",5,0.242
"646","FTR5807",14,14.393
"647","FTV5819",6,0.63
"648","FTW9228",6,0.449
"649","FTX4941",5,0.442
"650","FTY7153",5,0.399
"651","FTZ5319",5,0.322
"652","FUA3577",5,0.451
"653","FUB4281",5,0.437
"654","FUC5548",5,0.383
"655","FUD3642",5,0.354
"656","FUE0687",5,0.217
"657","FUF1099",6,0.465
"658","FUG4359",6,0.392
"659","FUH4668",6,0.355
"660","FUI0519",6,0.373
"661","FUJ6717",6,0.32
"662","FUK6749",6,0.326
"663","FUL6484",8,0.362
"664","FUM3118",6,0.442
"665","FUN8601",6,0.384
"666","FUO0375",6,0.411
"667","FUP3082",2,1.301
"668","FUQ6918",1,0.593
"669","FUR1993",1,0.68
"670","FUS2456",1,0.383
"671","FWL7067",1,1.762
"672","FWM0930",1,1.492
"673","FWN1033",1,1.085
"674","FWO1087",1,1.049
"675","FWP2106",1,1.189
"676","FWQ0916",1,1.251
"677","FWR4683",1,0.861
"678","FWS0255",1,0.956
"679","FWT5507",1,1.238
"680","FWU5529",1,0.772
"681","FWV7033",1,2.144
"682","FWW3292",1,2.04
"683","FWX3012",1,2.437
"684","FWY0020",1,1.206
"685","FWZ1203",1,1.604
"686","FXA2923",1,1.444
"687","FXB1340",1,1.602
"688","FXC9415",1,1.028
"689","FXD3865",1,1.128
"690","FXE6263",1,0.819
"691","FXF1307",1,0.517
"692","FXG9241",1,1.013
"693","FXH5655",1,0.368
"694","FXI7373",1,1.049
"695","FXJ4035",1,0.754
"696","FXK1172",1,0.626
"697","FXL6806",1,0.527
"698","FXM6750",1,2.221
"699","FXN4950",1,0.521
"700","FXO1538",1,0.77
"701","FXP4259",1,1.24
"702","FXQ2881",5,0.622
"703","FXR6056",5,0.474
"704","FXS6926",6,0.724
"705","FXT4868",1,1.714
"706","FXU5127",5,0.649
"707","FXV9119",6,0.678
"708","FXW2550",6,0.603
"709","FXX6853",1,2.27
"710","FXY0371",5,0.573
"711","FXZ6737",5,0.514
"712","FYA2858",5,0.571
"713","FYC9475",6,0.659
"714","FYD9346",6,0.352
"715","FYE6976",6,0.346
"716","FYG0269",5,0.311
"717","FYH4237",7,0.407
"718","FYI7072",6,0.334
"719","FYK1290",6,0.347
"720","FYL7673",6,0.375
"721","FYM6480",6,0.336
"722","FYO5392",4,0.236
"723","FYP2787",6,0.368
"724","FYQ5114",6,0.355
"725","FYS7031",6,0.344
"726","FYT7503",5,0.297
"727","FYU8968",6,0.38
"728","FYV9969",3,0.481
"729","FYZ1133",4,0.442
"730","FZD0660",5,0.632
"731","FZH4658",5,0.531
"732","FZM2723",1,2.31
"733","FZN7258",1,2.277
"734","FZO3209",11,0.724
"735","FZR0585",1,1.538
"736","FZS3412",12,0.695
"737","FZV1326",1,2.351
"738","FZW4529",1,2.478
"739","FZZ5195",1,1.748
"740","GAA2013",1,1.273
"741","GAB6930",6,0.35
"742","GAD6189",1,1.097
"743","GAE3083",1,1.656
"744","GAH0352",1,1.835
"745","GAI4892",1,1.338
"746","GAL3346",1,1.789
"747","GAM2797",1,1.609
"748","GAP2968",1,1.846
"749","GAQ6032",1,1.636
"750","GAT6006",1,1.597
"751","GAU3692",1,1.472
"752","GAX6568",1,2.512
"753","GAY6345",1,1.604
"754","GBB6203",1,2.075
"755","GBC3485",1,2.233
"756","GBF3473",1,1.916
"757","GBG1534",1,1.479
"758","GBH3273",5,0.406
"759","GBI3097",5,0.57
"760","GBJ1493",5,0.35
"761","GBL6474",5,0.454
"762","GBM2985",5,0.446
"763","GBN2938",5,0.513
"764","GBP8836",6,0.353
"765","GBQ0228",6,0.363
"766","GBR9581",5,0.393
"767","GBT3222",6,0.305
"768","GBU0754",6,0.304
"769","GBV3307",6,0.325
"770","GBX7110",6,0.308
"771","GBY4908",6,0.312
"772","GBZ7559",6,0.322
"773","GCE7497",2,1.595
"774","GCI9817",5,0.5
"775","GCM2163",5,0.49
"776","GCP5794",5,0.502
"777","GCQ4070",5,0.494
"778","GCR5679",5,0.43
"779","GCS4531",5,0.383
"780","GCT4984",1,1.335
"781","GCU7285",5,0.546
"782","GCV8879",1,0.841
"783","GCW8046",1,1.701
"784","GCY4757",5,0.552
"785","GCZ6980",4,0.523
"786","GDC5773",5,0.551
"787","GDD5904",7,0.4
"788","GDE0492",7,0.398
"789","GDF7827",2,1.181
"790","GDG4489",2,1.01
"791","GDH9679",2,1.236
"792","GDI4550",2,0.68
"793","GDJ5962",2,1.026
"794","GDK4483",2,1.379
"795","GDL1584",1,0.846
"796","GDM6466",1,1.003
"797","GDN5501",5,0.522
"798","GDO3426",5,0.424
"799","GDP4426",5,0.489
"800","GDQ2695",5,0.467
"801","GDR8897",5,0.519
"802","GDS3467",5,0.406
"803","GDT4551",5,0.461
"804","GDU0839",1,1.622
"805","GDV1794",5,0.419
"806","GDW8689",5,0.392
"807","GDX0551",5,0.494
"808","GDY2366",5,0.452
"809","GDZ8699",5,0.267
"810","GEA5598",6,0.316
"811","GEB8468",6,0.311
"812","GEC4519",6,0.289
"813","GED9087",6,0.298
"814","GEE9775",6,0.258
"815","GEF6093",6,0.299
"816","GEG2021",6,0.307
"817","GEH8521",6,0.33
"818","GEI9259",6,0.336
"819","GEJ7887",5,0.301
"820","GEK6326",6,0.382
"821","GEL3536",6,0.339
"822","GEM6198",6,0.34
"823","GEN2256",6,0.323
"824","GEO3884",6,0.372
"825","GEP6448",6,0.38
"826","GEQ5400",7,0.356
"827","GER7875",5,0.323
"828","GES3434",6,0.343
"829","GET0084",6,0.346
"830","GEU2179",6,0.343
"831","GEZ2296",1,0.694
"832","GFA5193",4,0.411
"833","GFB5505",4,0.622
"834","GFC3556",1,0.603
"835","GFD0195",1,1.225
"836","GFE3501",4,0.516
"837","GFF1460",4,0.493
"838","GFG2840",1,0.922
"839","GFH3310",1,0.908
"840","GFI0412",4,0.423
"841","GFJ4018",4,0.405
"842","GFK6857",1,0.981
"843","GFL2937",1,0.71
"844","GFM3718",3,0.348
"845","GFN0119",4,0.396
"846","GFO1204",1,0.787
"847","GFP4415",1,1.065
"848","GFQ6444",6,0.355
"849","GFR9053",4,0.514
"850","GFS3181",1,1.172
"851","GFT1701",1,1.384
"852","GFU2334",1,0.978
"853","GFV7422",4,0.663
"854","GFW5233",1,1.049
"855","GFX6331",1,0.977
"856","GFY3398",6,0.403
"857","GFZ2917",4,0.39
"858","GGA3090",1,1.01
"859","GGB8351",6,0.374
"860","GGC5443",6,0.406
"861","GGD0429",5,0.537
"862","GGE2490",1,0.68
"863","GGF3534",6,0.398
"864","GGG1167",6,0.357
"865","GGH2955",4,0.416
"866","GGI3735",1,0.665
"867","GGJ4915",1,0.899
"868","GGK6481",6,0.387
"869","GGL6659",4,0.649
"870","GGM1499",1,0.57
"871","GGN1257",1,2.041
"872","GGO9498",6,0.38
"873","GGP5784",1,0.657
"874","GGQ0679",1,1.159
"875","GGR2385",6,0.37
"876","GGS5245",7,0.384
"877","GGT9134",1,0.643
"878","GGU1510",1,1.416
"879","GHI4358",14,15.616
"880","GHV6522",14,22.145
"881","GIN6060",15,15.387
"882","GIU3244",14,23.096
"883","GJG2311",4,0.29
"884","GJH7251",4,0.3
"885","GJI6070",4,0.274
"886","GJU5073",4,0.374
"887","GJV6861",4,0.416
"888","GJW4328",4,0.232
"889","GJX2345",4,0.378
"890","GJY2576",3,0.253
"891","GJZ3626",4,0.403
"892","GKA4101",4,0.449
"893","GKB5224",4,0.369
"894","GKC3760",5,0.49
"895","GKD9978",4,0.505
"896","GKE3703",4,0.326
