"","ID","n","leaf_area"
"1101","HKN4037",7,0.414
"1102","HKR1536",7,0.433
"1103","HLC3491",1,1.116
"1104","HLG6625",1,0.993
"1105","HLV7966",5,0.501
"1106","HLZ1195",5,0.506
"1107","HMM3476",5,0.492
"1108","HMQ5291",5,0.53
"1109","HMU6669",5,0.434
"1110","HMY9879",5,0.491
"1111","HNC5303",5,0.474
"1112","HNK3124",5,0.365
"1113","HNO3827",5,0.351
"1114","HNQ9262",1,0.561
"1115","HNS8572",5,0.54
"1116","HNW6228",5,0.503
"1117","HNY5036",1,1.242
"1118","HOA2001",2,1.045
"1119","HOC6538",1,2.155
"1120","HOE2986",1,0.897
"1121","HOG5088",1,1.392
"1122","HOI6039",1,0.645
"1123","HOK8801",1,1.161
"1124","HOM2517",1,0.897
"1125","HOO4010",1,0.871
"1126","HOP7879",1,0.903
"1127","HOQ4837",1,0.834
"1128","HOS8470",1,1.231
"1129","HOT4455",1,0.634
"1130","HOV4573",1,1.142
"1131","HOW5695",1,1.901
"1132","HOX7221",1,0.789
"1133","HOZ5894",1,1.092
"1134","HPB0072",1,0.678
"1135","HPD9492",1,0.924
"1136","HPF9640",1,0.848
"1137","HPH7493",1,2.091
"1138","HPJ3212",1,0.561
"1139","HPL4957",1,0.825
"1140","HPN5223",1,1.016
"1141","HPP9662",1,1.085
"1142","HPR0788",2,0.541
"1143","HPV6413",6,0.412
"1144","HPW4420",6,0.429
"1145","HPZ5487",6,0.444
"1146","HQA3276",6,0.401
"1147","HQD5306",6,0.438
"1148","HQE2882",6,0.418
"1149","HQH6313",6,0.443
"1150","HQI5427",6,0.427
"1151","HRP4610",6,0.447
"1152","HRR6399",5,1.193
"1153","HRT0621",5,0.358
"1154","HRV2687",5,0.759
"1155","HRX6266",6,0.439
"1156","HRY6133",5,0.284
"1157","HRZ6659",6,0.869
"1158","HSB0386",6,0.417
"1159","HSC2984",5,0.272
"1160","HSD8238",5,1.138
"1161","HSF3214",6,0.426
"1162","HSG6347",5,0.279
"1163","HSJ0242",6,0.436
"1164","HSN3879",5,0.557
"1165","HSR6006",5,0.492
"1166","HSV1552",5,0.553
"1167","HTK4966",5,0.439
"1168","HTM1733",1,1.292
"1169","HTN4615",6,0.338
"1170","HTQ0097",1,1.281
"1171","HTR2879",6,0.371
"1172","HTT3579",1,1.011
"1173","HTU6789",1,1.488
"1174","HTV4416",6,0.345
"1175","HTX6275",1,0.809
"1176","HTY0600",1,1.274
"1177","HTZ5376",6,0.37
"1178","HUB2623",1,1.146
"1179","HUC8005",1,1.217
"1180","HUD0319",6,0.367
"1181","HUF7310",1,0.909
"1182","HUG2530",1,1.323
"1183","HUH9050",6,0.37
"1184","HUJ1371",1,0.827
"1185","HUK3532",1,1.016
"1186","HUN7677",1,0.95
"1187","HUO4471",1,1.208
"1188","HUR2653",1,0.925
"1189","HUV3370",1,0.938
"1190","HVC6229",6,0.378
"1191","HVG9264",6,0.358
"1192","HVI2869",1,1.638
"1193","HVJ5523",1,1.108
"1194","HVM7393",1,1.623
"1195","HVQ4646",1,1.642
"1196","HVT0630",1,1.698
"1197","HVU2682",1,1.441
"1198","HVX6326",1,1.677
"1199","HVY5961",1,1.727
"1200","HWB6850",1,1.369
"1201","HWC4071",1,1.164
"1202","HWF0845",1,1.363
"1203","HWG7181",1,0.819
"1204","HWJ1835",1,1.406
"1205","HWK5555",1,0.838
"1206","HWN9062",1,1.722
"1207","HWO0627",1,0.679
"1208","HWQ3495",5,1.071
"1209","HWR9258",1,1.567
"1210","HWS0670",1,1.736
"1211","HWU3733",5,1.09
"1212","HWV5438",1,1.62
"1213","HWW5710",1,1.434
"1214","HWY7450",5,0.987
"1215","HWZ6033",1,1.702
"1216","HXA3269",1,1.998
"1217","HXC5579",5,0.768
"1218","ICQ5295",1,1.863
"1219","ICR7680",4,0.543
"1220","ICV6828",4,0.67
"1221","ICZ5513",4,0.457
"1222","IDD2535",4,0.503
"1223","IDH0082",4,0.443
"1224","IDL6981",4,0.565
"1225","IDP2115",4,0.367
"1226","IDT0730",4,0.409
"1227","IDU5826",4,0.605
"1228","IDY1201",4,0.469
"1229","IEC1397",4,0.545
"1230","IEG7789",4,0.32
"1231","IEK5569",4,0.501
"1232","IEP4169",5,0.373
"1233","IEQ0853",4,0.313
"1234","IET0222",5,0.388
"1235","IEU5873",5,0.341
"1236","IEX8095",4,0.285
"1237","IEY4800",6,0.413
"1238","IGJ2947",6,0.434
