"","ID","n","leaf_area"
"212","IEW7453",4,0.261
"213","IEZ2857",4,0.264
"214","IFA1719",4,0.266
"215","IFB0179",4,0.356
"216","IFC2500",4,0.28
"217","IFD2324",1,1.134
"218","IFE3924",4,0.175
"219","IFF2223",4,0.23
"220","IFG4924",4,0.238
"221","IFH9505",1,1.096
"222","IFI5278",1,1.609
"223","IFJ2998",4,0.256
"224","IFK5316",1,0.797
"225","IFL1022",1,0.931
"226","IFM7286",1,1.008
"227","IFN9016",1,0.911
"228","IFO7129",1,0.508
"229","IFP2652",1,0.954
"230","IFQ9118",1,1.174
"231","IFR3219",1,0.751
"232","IFS0911",1,1.529
"233","IFT5059",1,0.858
"234","IFU4455",1,0.796
"235","IFV8082",1,0.712
"236","IFW7047",1,1.479
"237","IFX5810",1,1.242
"238","IFY4806",1,1.126
"239","IFZ9804",1,0.844
"240","IGA0256",1,0.973
"241","IGB8188",1,0.911
"242","IGC1853",1,0.988
"243","IGD5802",1,0.926
"244","IGE5967",1,0.948
"245","IGF9964",1,0.903
"246","IGG4081",1,0.809
"247","IGH4418",1,0.917
"248","IGI0259",1,1.042
"249","IGL6062",6,0.437
"250","IGM0619",1,1.439
"251","IGP5583",5,0.588
"252","IGQ2785",1,1.553
"253","IGT5678",5,0.481
"254","IGU1647",1,2.394
"255","IGW6672",6,0.457
"256","IGX3683",5,0.584
"257","IGY6435",1,1.271
"258","IHA6465",6,0.458
"259","IHB7243",1,1.36
"260","IHC6053",1,1.163
"261","IHD1909",1,1.354
"262","IHE0770",1,1.433
"263","IHF3711",1,2.134
"264","IHG0100",1,1.419
"265","IHH3985",1,1.198
"266","IHI0109",1,2.017
"267","IHJ4684",1,1.36
"268","IHY7547",1,1.255
"269","IIF1191",1,1.169
"270","IIG1929",1,1.573
"271","IIH2549",1,0.866
"272","III4304",1,1.218
"273","IIJ3631",6,0.429
"274","IIK3787",6,0.438
"275","IIL6703",1,1.065
"276","IIM5354",1,1.165
"277","IIN5933",6,0.433
"278","IIO3490",6,0.438
"279","IIP1018",1,1.092
"280","IIQ5317",1,1.061
"281","IIR8362",6,0.452
"282","IIS0179",7,0.443
"283","IIT1665",1,1.361
"284","IIU1962",1,1.199
"285","IIV6113",6,0.429
"286","IIW1207",4,0.303
"287","IIX7013",1,1.478
"288","IIY7773",1,1.023
"289","IIZ8419",1,1.18
"290","IJA5143",6,0.41
"291","IJB5060",1,1.242
"292","IJC5840",1,2.993
"293","IJD2619",1,1.33
"294","IJE3681",1,1.113
"295","IJF3525",1,1.7
"296","IJG8595",1,1.719
"297","IJH1321",1,1.468
"298","IJI8310",1,1.784
"299","IJJ0952",1,2.382
"300","IJK4571",1,1.493
"301","IJL3408",1,1.977
"302","IJM0147",1,1.248
"303","IJN9063",1,1.69
"304","IJO7462",1,2.156
"305","IJP4386",1,1.462
"306","IJQ3822",5,0.484
"307","IJR0734",5,0.502
"308","IJU1626",5,0.35
"309","IME3393",5,0.275
"310","IMI9726",5,0.29
"311","IMM7860",5,0.305
"312","IMQ0658",5,0.289
"313","IMU0444",5,0.316
"314","IMY3627",5,0.289
"315","INC7108",5,0.316
"316","ING5124",5,0.295
"317","INK7761",5,0.299
"318","INO1464",5,0.288
"319","INS4457",5,0.317
"320","IOH5605",4,0.311
"321","IOL6253",4,0.203
"322","IOP3538",4,0.246
"323","IOT3868",4,0.258
"324","IRT4160",1,1.279
"325","IRX8531",1,1.682
"326","ISB3387",1,1.333
"327","ISF4953",1,1.704
"328","ISJ8403",6,0.423
"329","ISK3315",1,1.543
"330","ISN4351",6,0.463
"331","ISO5003",6,0.449
"332","ISP7525",6,0.446
"333","ISR0153",4,0.319
"334","ISS0883",4,0.359
"335","ISU1684",6,0.429
"336","ISV2200",4,0.242
"337","ISW3704",3,0.194
"338","ISX9751",4,0.28
"339","ISY5953",4,0.334
"340","ISZ4215",4,0.325
"341","ITA6153",4,0.334
"342","ITC3766",4,0.217
"343","ITF6811",6,0.417
"344","ITG5242",6,0.451
"345","IUQ4537",1,1.412
"346","IUU4411",1,1.652
"347","IUX4174",1,0.996
"348","IUY0201",1,1.344
"349","IVB0204",1,1.386
"350","IVC0333",1,1.422
"351","JIC4069",6,0.427
"352","JID2615",6,0.387
"353","JIH8588",6,0.469
"354","JIL9423",6,0.419
"355","JIP6809",6,0.469
"356","JIX1426",6,0.49
"357","JLZ0873",6,0.469
"358","JMD4942",6,0.287
"359","JMH2718",6,0.41
"360","JML0099",6,0.422
"361","JNA3121",7,0.505
"362","bIEL256",5,0.325
"363","outITB5",5,0.292
